ID,Item,Product Code,Supplier,Price Ex VAT
1,Rockwool Sound Insulation Slab 1200 x 400 x 100mm Covers 2.88m²,487320133,Selco,43.69
2,Siniat Standard Square Edge Plasterboard 2400 x 1200 x 12.5mm,141630121,Selco,8.99
3,Caberfloor P5 T&G Chipboard Flooring 2400 x 600mm TG4 FSC®,192360441,Selco,12.99
4,Caberfloor P5 T&G Chipboard Flooring 2400 x 600mm TG4 FSC®,192360561,Selco,12.99
