ID,Item,Product Code,Supplier,Price Ex VAT
1,MK LOGIC PLUS 13A 2-GANG DP SWITCHED PLUG SOCKET WHITE,15747,Screwfix,3.08
2,MK LOGIC PLUS 13A SWITCHED FUSED SPUR & FLEX OUTLET WHITE,13479,Screwfix,4.74
3,MK LOGIC PLUS 10AX 1-GANG 2-WAY LIGHT SWITCH WHITE,11822,Screwfix,1.51
4,MK LOGIC PLUS 10AX 2-GANG 2-WAY LIGHT SWITCH WHITE,16201,Screwfix,2.8
