ID,Item,Product Code,Supplier,Price Ex VAT
1,6mm x 1220mm x 2440mm CaberMDF Pro,856408,Travis Perkins,28.89
2,18mm x 1220mm x 2440mm CaberMDF Moisture Resistant Trade,681800,Travis Perkins,58.99
3,Standard Hardboard Panel 1220mm x 610mm x 3mm,795944,Travis Perkins,5.25
4,British Gypsum Gyproc WallBoard Square Edge 2400mm x 1200mm x 9.5mm,760046,Travis Perkins,10.34
